1.21601	        -1539.8
1.06789	        -1535.2
0.89571	        -1533.1
0.7701	        -1529.9
0.64757	        -1526.2
0.50553	        -1521.6
0.41469	        -1517.8
0.3323	        -1514.1
0.25665	        -1510.5
0.19114	        -1506.8
0.13694	        -1503.4
0.07886	        -1499.5
0.02999	        -1495.8
-0.0148	        -1492.1
-0.05741	-1488.5
-0.1003	        -1484.5
-0.13895	-1480.7
-0.17384	-1477
-0.20614	-1473.4
-0.23787	-1469.6
-0.26325	-1466.4
-0.29111	-1462.8
-0.32215	-1459
-0.35504	-1454.5
-0.37948	-1450.9
-0.40318	-1447
-0.42498	-1443.3
-0.44507	-1439.8
-0.46631	-1435.8
-0.48577	-1432.1
-0.50185	-1428.8
-0.51946	-1425.2
-0.53597	-1421.5
-0.55283	-1417.9
-0.5692	        -1414.1
-0.58461	-1410.3
-0.59953	-1406.7
-0.61405	-1402.9
-0.62894	-1399.1
-0.64327	-1395.2
-0.6554	        -1391.9
-0.66908	-1388.1
-0.68299	-1384.3
-0.69575	-1380.5
-0.70951	-1376.8
-0.72126	-1373.3
-0.73476	-1369.5
-0.74666	-1366
-0.75978	-1362.2
-0.77219	-1358.6
-0.78269	-1355.3
-0.79666	-1351.6
-0.80972	-1347.9
-0.82346	-1344
-0.83604	-1340.4
-0.84999	-1336.8
-0.86331	-1333.2
-0.87699	-1329.6
-0.89213	-1325.9
-0.90967	-1321.9
-0.92193	-1318.7
-0.9393	        -1315.1
-0.95863	-1311.3
-0.97788	-1307.5
-0.99705	-1303.8
-1.01634	-1300.3
-1.04382	-1296.4
-1.06541	-1292.7
-1.09636	-1288.9
-1.13198	-1285.2
-1.15934	-1281.8
-1.20609	-1278.2
-1.25005	-1274.5
-1.30677	-1270.8
-1.40079	-1266.4
-1.47812	-1262.6
-1.55819	-1259
-1.72458	-1255.1
-1.89327	-1251.4
-2.26077	-1247.6
-3.26305	-1244
-2.13777	-1239.8
-1.8951	        -1235.8
-1.7432	        -1232
-1.64346	-1228
-1.56841	-1223.5
-1.5325	        -1219.8
-1.50503	-1216.2
-1.46541	-1212.2
-1.44718	-1208.5
-1.43862	-1205.3
-1.41388	-1201.6
-1.40486	-1197.8
-1.39778	-1194.1
-1.40009	-1190.5
-1.37957	-1186.6
-1.38987	-1183
-1.37687	-1179.2
-1.37017	-1175.6
-1.36602	-1171.9
-1.36533	-1168.6
-1.35105	-1164.6
-1.34565	-1160.9
-1.3467	         -1157.3
-1.3293	        -1153.4
-1.33096	-1149.7
-1.30889	-1145.7
-1.30959	-1142.2
-1.29033	-1138.4
-1.2775	        -1134.7
-1.26632	-1131.5
-1.24665	-1127.8
-1.22546	-1123.8
-1.20002	-1120
-1.18393	-1116.5
-1.15194	-1112.7
-1.12449	-1109.1
-1.09156	-1105.4
	
