	Force(kN)	Displ1(mm)
6.220085	18.038895
6.214084	18.055813
6.206249	18.072029
6.201748	18.089033
6.19754	18.10446
6.193539	18.121992
6.188413	18.138296
6.18087	18.155563
6.174994	18.171865
6.170743	18.189659
6.163033	18.206051
6.157782	18.222353
6.152656	18.23892
6.146863	18.255224
6.140363	18.27223
6.134944	18.289059
6.127902	18.305014
6.122818	18.322279
6.116899	18.338058
6.109523	18.35515
6.102605	18.371542
6.097729	18.388458
6.089894	18.407393
6.083643	18.422819
6.07585	18.439299
6.070433	18.455425
6.061473	18.472958
6.054304	18.489523
6.048429	18.50609
6.040135	18.522921
6.033676	18.540451
6.024133	18.556404
6.016798	18.573408
6.00888	18.589537
6.002628	18.60619
5.99396	18.623196
5.984917	18.640024
5.977374	18.656679
5.968539	18.672895
5.960829	18.689724
5.952494	18.706993
5.942867	18.723558
5.933407	18.741003
5.923281	18.757307
5.914612	18.77396
5.905194	18.791052
5.895525	18.808058
5.886565	18.82366
5.876564	18.840752
5.864645	18.859159
5.854434	18.875725
5.844182	18.892117
5.83364	18.910173
5.822762	18.926741
5.809801	18.943218
5.798132	18.961275
5.786922	18.978193
5.775087	18.994234
5.763209	19.011238
5.744581	19.027893
5.732454	19.044373
5.720201	19.06164
5.704844	19.081099
5.692196	19.096264
5.677902	19.113005
5.664795	19.129747
5.648834	19.147629
5.632331	19.164896
5.616391	19.181549
5.600867	19.197504
5.583634	19.214508
5.567403	19.2309
5.552191	19.249043
5.532875	19.265083
5.514413	19.282438
5.493701	19.303038
5.475469	19.317238
5.459341	19.334244
5.437128	19.351423
5.416249	19.368078
5.394996	19.385344
5.372783	19.402525
5.350967	19.419617
5.327546	19.43671
5.301312	19.454153
5.27662	19.471508
5.251136	19.488775
5.224943	19.506395
5.196959	19.524452
5.167704	19.542068
5.136177	19.558811
5.105713	19.576868
5.071832	19.595188
5.039972	19.613506
5.003861	19.630863
4.965979	19.648832
4.926388	19.667238
4.883881	19.685032
4.840122	19.702826
4.791842	19.722286
4.743042	19.740517
4.685406	19.759802
4.541692	19.782066
3.873132	19.822386
3.728646	19.845352
3.590371	19.868931
3.471786	19.891193
3.383145	19.912495
3.29863	19.933882
3.207654	19.955708
3.122076	19.977884
3.016911	19.99892
2.929895	20.020397
2.85385	20.04126
2.76824	20.062647
2.68063	20.083681
2.584164	20.105158
2.48449	20.12558
2.396088	20.147055
2.307165	20.166342
2.207314	20.189043
2.091594	20.213146
1.947182	20.236111
1.480357	20.256624
1.446184	20.274416
1.401613	20.292736
1.364132	20.311319
1.321921	20.329552
1.271563	20.3498
1.231243	20.368732
1.198888	20.386526
1.161449	20.405197
1.112221	20.425007
1.069322	20.442274
1.0155	20.45928
0.961782	20.477772
0.920441	20.495304
0.875115	20.511957
0.826356	20.529139
0.782702	20.546757
0.743637	20.563324
0.689481	20.581644
0.651193	20.596457
0.606458	20.61425
0.563039	20.629765
0.525584	20.651241
0.488572	20.66325
0.456173	20.679377
0.431897	20.694103
0.408057	20.709179
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
