Depth (nm)	Load (µN)
-4.455047	-1.097598
-4.381523	-1.111687
-4.518023	-1.084006
-4.467798	-1.093697
-4.44887	-1.096949
-4.562873	-1.074846
-4.436794	-1.098834
-4.416021	-1.102797
-4.55704	-1.126314
-4.526792	-1.135995
-4.374519	-1.166995
-4.52798	-1.185956
-4.653145	-1.165912
-4.675072	-1.161913
-4.560496	-1.183454
-4.78289	-1.14059
-4.67795	-1.180085
-4.724621	-1.209139
-4.891263	-1.177112
-4.796435	-1.194734
-4.897459	-1.174369
-4.965873	-1.160803
-4.847545	-1.183742
-4.912147	-1.171088
-4.991362	-1.154262
-4.872437	-1.179107
-4.719571	-1.26018
-5.031212	-1.228126
-5.026222	-1.244971
-5.001403	-1.261756
-5.188334	-1.224572
-5.068687	-1.248386
-5.137821	-1.234653
-5.284956	-1.205479
-5.247489	-1.211942
-5.327378	-1.196188
-5.340334	-1.193885
-5.248233	-1.212838
-5.426079	-1.175815
-5.271362	-1.194179
-5.444268	-1.171814
-5.555675	-1.124095
-5.598048	-1.084309
-5.578255	-1.073637
-5.766144	-1.008085
-5.520907	-1.045815
-5.62989	-1.024065
-5.519823	-1.04491
-5.572299	-1.034886
-5.513054	-1.046511
-5.577693	-1.033496
-5.644713	-1.019972
-5.600902	-1.028407
-5.669195	-1.063178
-5.678284	-1.065217
-5.670498	-1.066893
-5.78169	-1.045613
-5.857652	-1.028891
-5.678334	-1.063298
-5.846995	-1.030838
-5.835492	-1.068858
-5.790642	-1.083538
-5.879065	-1.080431
-5.648857	-1.143872
-5.927841	-1.126081
-5.885232	-1.134304
-5.885826	-1.164744
-5.921933	-1.184495
-6.034994	-1.162383
-5.930485	-1.213511
-6.030398	-1.215173
-6.213113	-1.178069
-6.276223	-1.16617
-6.353854	-1.122073
-6.261109	-1.117065
-6.260019	-1.116729
-6.355247	-1.098313
-6.240437	-1.120651
-6.396153	-1.08972
-6.230215	-1.13299
-6.346917	-1.151719
-6.421757	-1.135948
-6.621522	-1.084929
-6.379189	-1.091841
-6.51424	-1.067198
-6.407479	-1.106398
-6.43415	-1.131785
-6.481375	-1.122964
-6.557148	-1.107051
-6.427443	-1.159395
-6.559033	-1.163567
-6.713303	-1.132821
-6.851221	-1.102014
-6.832748	-1.05191
-6.865327	-1.045878
-6.642758	-1.090014
-6.720588	-1.074998
-6.761961	-1.065481
-7.050559	-1.028733
-6.942557	-1.028966
-6.841879	-1.049436
-6.830007	-1.050049
-6.873039	-1.041666
-6.774773	-1.086284
-6.852198	-1.102017
-7.137549	-1.046548
-7.03195	-1.066598
-7.070303	-1.058162
-7.126786	-1.048223
-7.101273	-1.052356
-7.093069	-1.053738
-7.050486	-1.062321
-7.056164	-1.060266
-7.08408	-1.107479
-7.275953	-1.071544
-7.275538	-1.070047
-7.405402	-1.044108
-7.313311	-1.061973
-7.342032	-1.056452
-7.290391	-1.066489
-7.407912	-1.044055
-7.560428	-1.007953
-7.482165	-0.973496
-7.293321	-1.020687
-7.469679	-1.017534
	
-7.360202	-1.049354
-7.450005	-0.992256
-7.506419	-0.94112
-7.577416	-0.848705
-7.529687	-0.755137
-7.282223	-0.728259
-7.241079	-0.686573
-7.24356	-0.63023
-7.0782	        -0.607448
-6.948374	-0.631902
-6.998279	-0.598328
-6.901737	-0.583393
-6.849551	-0.593416
-6.822684	-0.551168
-6.717075	-0.566756
-6.733166	-0.558075
-6.680359	-0.495175
-6.635727	-0.487591
-6.663301	-0.406571
-6.462038	-0.422929
-6.545364	-0.372292
-6.284764	-0.404
-6.363765	-0.389097
-6.259635	-0.408203
-6.264584	-0.377519
-6.122507	-0.375521
-6.16029	-0.367949
-5.962663	-0.40627
-6.02324	-0.394729
-6.122788	-0.362084
-6.065252	-0.317406
-6.066335	-0.242918
-5.941861	-0.221927
-5.785968	-0.215061
-5.703934	-0.229884
-5.710663	-0.203521
-5.697156	-0.174706
-5.602719	-0.139438
